木兰陂,莆田宋代水利工程。木兰陂位于莆田市区西南5公里的木兰山下的陂头村，木兰溪与兴化湾海潮汇流处。始建于北宋治平元年(1064)，元丰六年(1083)建成，灌溉南洋平原。元皇庆年间(1312～1313)，总管张仲仪、郭尕儿在木兰陂北端建“万金陡门”(即今进水闸)，分水进入北洋，开挖沟渠与延寿溪下游汇合，开发北洋灌区。木兰陂是我国现有最完整的古代大型水利建设设施，全国五大古陂之一，至今仍保存完整并发挥其水利效用。工程分枢纽和配套两大部分。枢纽工程为陂身，由溢流堰、进水闸、冲沙闸、导流堤等组成。溢流堰为堰匣滚水式，长219米，高7.5米，设陂门32个，有陂墩29座，旱闭涝启。堰坝用数万块千斤重的花岗石钩锁叠砌而成。陂南建惠南桥水闸一座，二孔，宽6.1米，渠道199.8公里，陂北立万金陡门一座，孔宽2.95米，渠道109.7公里。南北两渠建有涵闸建筑物344座。它把木兰溪的水源引入莆田南北洋平原，灌溉16.5万亩良田。整个工程兼具拒咸蓄淡、拦洪、灌溉、航运、水产养殖等功能。2014年列入世界灌溉工程遗产。为纪念建陂的先贤，木兰溪的南岸修建了纪念钱四娘、林从世、李宏、冯智日的协应庙。,
木兰溪,溪流。发源于德化县戴云山脉余支的笔架山，自西北向东横贯莆田市中、南部，至三江口注入兴化湾入台湾海峡。干流全长105公里，流域面积1732平方公里，为福建省八大河流之一，天然落差784米。流域内有著名的南北洋平原(兴化平原)和仙游东西乡平原，是莆田市内主要的人口聚居区。把兴化平原划为南北洋。流域内沿岸水利设施众多，为流域生产生产提供了充足的水源和电力支持。同时木兰溪及其支流、入海口湾是市内重要的水运航道。因此被称为莆田人民的母亲河,
木□,一种水稻脱粒农具。用于在水田中打稻，木制，圆筒状。,
木爿,汉字偏旁，木字旁“朩”。,
木虱,臭虫。△有钱有侬别，无钱臭～（金钱万能）。,
博庄,赌博。,
缚,绑；系：用索将伊～柱珠厄（用绳子将他绑在柱子上）|△四角四角方，用草～腰封（谜语。谜底是米粉。米粉用稻草缚住腰部）。,
缚空肚,空无一文。,
磅,磅秤。,
磅锤,磅秤的秤砣。,
□紧,不要紧。“（勿会）要紧”的合音。,
反身覆,趴着。,
爿,量词。边；瓣：分两～行|柚分蜀～乞我食。,
簰篙,刺水使竹筏前进的竹杆。,
片,量词。用于脸腮或屁股：两～嘴（卑页）。,
反,翻：被曝蜀歇囝着～过再曝（被子晒一会儿就要翻过去再晒。）|～来～去睏（勿会）落眠。,
反身覆,趴着：～睏。,
反肚,（鱼）腹部朝天。,
反辗转,整个儿翻过来，转过来：者张被～曝曝蜀下|～过我看。,
买猫换魈,白忙碌。,
（勿会）,①不会：会食～做（会吃饭不会干活）|△无风～起浪（事出有因）。,
（勿会）…（勿会）…,嵌用动词，表示这也不会，那也不会：～嫖～赌|～食～睏（吃不下，睡不着）。,
（勿会）生勿会死,①求生不得，求死不得。②受不了：我那讲伊两句，伊即～。,
（勿会）死厄,死不瞑目；不甘心：一架脚车敲无坏伊那～。,
（勿会）许勿会者,什么都不会：伊～，食了搭聊。,
（勿会）苦,巴不得：～得伊厄紧行（巴不得他马上走）。,
（勿会）使厄,不行；不能：～，安生（这样子）做是会得罪侬厄|～偷看（不能偷看）。,
（勿会）赴,来不及：现时去～。,
（勿会）晓,不会：食偌大个复～煮食|者个题目我～做。,
（勿会）得入,进不去：大门关许，～。,
（勿会）得带,②受不了：无事体做在厝里～|天时热房间里向无空调～。,
（勿会）得着,够不着；够不上：羽毛球乞挂树顶，用箠篙去撂～。,
（勿会）摸（勿会）磕,碰不得。,
八,副词，曾经：我～看见这种蝴蝶|老王～合我讲伊厝家庭厄事体。,
八十零零,八十多一点。类似的可以说三十零零、五十零零等。,
八角琴,莆仙戏及十音演奏乐器之一，琴筒呈八角形。,
勿会记,忘记：汝有讲，我乞～落尾（你有说，我忘记了）。,
卖车丸阿,卖汤圆的人。,
卖仙冻阿,卖凉粉的人。,
卖老鼠药阿,卖各种毒杀害虫的毒药的小货郎。,
卖菜种阿,卖蔬菜种子的。,
卖葱饼阿,在路旁出售炸油饼、油条等的人。,
瘪,扁状：嘴～～,
瘪嘴,嘴部扁扁的。,
勿会,副词，不会：～使厄（使不得）|我～合伊讲。,
百灵,闲扯。,
百般江湖,指各行各业。,
别,认识：我伓～者个侬（我不认得这个人）|～字（识字）|△有钱有侬～，无钱臭木虱（指认钱不认人的势利世态）。,
别日,改天。,
别古,知道别人所不知道的事物，特别是古代的事情。,
别向,别的方向，其它方向。也称别置：车开～去。,
别字,识字。,
别位,别的地方：者个地方无，到～去看有无。,
别物,别的东西：也无～通食（没有别的东西可吃）。,
别草纸字,认字少。,
别迹,别的地方：目珠看～。,
别途,其它地方；其它途径：由～行。,
别数,一心一意照顾家庭，不乱花钱。,
密,①隐蔽：事体乞遮瞒大～。②空隙小：侬众挤～～。,
默声,别作声：～，阿紧睏（快睡）。,
?,“未曾”的合音：天～暗|我～合伊讲（告诉她）|食饭～？～（吃饭了没有？还没有）。,
贫惮,①不：我～去！②不肯：伊～我亦无办法。,
贫惮虫,懒惰。,
瓶□,起子。开瓶盖的工具。,
瓶窒,瓶塞子。,
变相,性格脾气跟原来的不同或变了样：日日都好好，今旦～。,
便便,现成的：我者一枝笔～，乞汝使。,
本然,本来：我～亦卜去，后尾无工无去。,
枇杷色,淡黄色。,
脾肚倒,扫兴：大学考无入～。‖也叫【脾清】见下方。,
脾草,脾气：～好。,
脾凊,同见上方【脾肚倒】。,
篾帘,竹篾制的挂帘。,
篾席,竹篾编织而成的睡席。,
篾筅,刷锅的工具，用竹子做成。,
篾??,竹篾编成的筛子。,
比手力,掰手腕。,
米,大米。,
米爿,汉字偏旁，米字旁儿“米”。,
米轧,碾米机；碾米作坊。,
米兰,珠兰。,
米虫,米象。,
米证,‖同【米簿】见下方。,
米罗,一种米筛子。,
米盎,贮藏米的陶缸。△纸封做～（形容非常贫穷，吃了上顿没有下顿）。,
米粉碎,长条状米粉碎成的小段。,
米粉糊,‖同【面糊】在第131页。,
米票,票证时代用于买米的票证。‖也叫【小额】在第165页。,
米粞,糯米碾成的粉，用于做汤圆、糕饼等。,
米碓,木石做成的捣米器具。,
米碎,碎米。,
米??,米筛子。,
